TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,PLPtotal,PLPparthbond,PLPpartsteric,PLPpartmetal,PLPpartrepulsive,PLPpartburpolar,LIG_NUM_CLASH,LIG_NUM_CONTACT,LIG_NUM_NO_CONTACT,CHEMpartmetal,CHEMparthbond,CHEMparthbondCHO,DON,ACC,UNUSED_DON,UNUSED_ACC,CHEMPLP_CLASH2,TRIPOS_TORS,ATOMS_OUTSIDE_BINDINGSITE
ligand_entry_00001_conf_01,-44.2606,-44.2606,-7.37677,-24.3576,-0.566659,-10.3543,-24.3576,-7.37677,-24.5207,0,-22.3954,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
ligand_entry_00001_conf_02,-44.2459,-44.2459,-7.37432,-24.3495,-0.566471,-10.3508,-24.3495,-7.37432,-24.5726,0,-22.4646,0,0,-0.0194499,0,6,0,0,0,0,0,0,0,0,0,0,0
ligand_entry_00001_conf_03,-44.2236,-44.2236,-7.3706,-24.3372,-0.566185,-10.3456,-24.3372,-7.3706,-24.5654,0,-22.9363,0,0,-0.0372697,1,5,0,0,0,0,0,0,0,0,0,0,0
ligand_entry_00001_conf_04,-44.1291,-44.1291,-7.35485,-24.2852,-0.564975,-10.3235,-24.2852,-7.35485,-24.3477,0,-22.2262,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
ligand_entry_00001_conf_05,-44.049,-44.049,-7.3415,-24.2411,-0.56395,-10.3048,-24.2411,-7.3415,-24.2823,0,-22.1712,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
ligand_entry_00001_conf_06,-44.0158,-44.0158,-7.33596,-24.2228,-0.563524,-10.297,-24.2228,-7.33596,-24.2215,0,-22.1067,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
ligand_entry_00001_conf_07,-43.9913,-43.9913,-7.33189,-24.2094,-0.563212,-10.2913,-24.2094,-7.33189,-24.4759,0,-22.3347,0,0,-0.0111826,0,6,0,0,0,0,0,0,0,0,0,0,0
ligand_entry_00001_conf_08,-43.9162,-43.9162,-7.31936,-24.168,-0.562249,-10.2737,-24.168,-7.31936,-24.2156,0,-22.2235,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
ligand_entry_00001_conf_09,-43.8483,-43.8483,-7.30806,-24.1307,-0.561381,-10.2578,-24.1307,-7.30806,-24.5251,0,-22.5989,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
ligand_entry_00001_conf_10,-43.3512,-43.3512,-7.2252,-23.8571,-0.555016,-10.1415,-23.8571,-7.2252,-23.4895,0,-21.4492,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0
